,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExNtv,SplyExUSD,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d,mvrv_q,flow_q
AdrActCnt,1.0,0.8492289267666638,0.42254509514479005,0.42254509514479005,-0.05786290930936678,-0.08388668677698943,0.48722452649260467,-0.3103037362042932,0.34305829435361074,0.38001764821435335,0.49968412693794656,0.40957937725060983,0.46804216030583135,0.4642153441221781,-0.802255673521964,0.7060267312244354,,0.5009578437071757,-0.30958200013457415,-0.16792463988842163,0.8065019043123279,0.10997293156953951,0.8585360352734636,0.8065019043123279,0.8703848124563397,0.7983928798672729,0.37387397496876673,0.8634380918103728,0.820122866446492,0.9285221370453999,0.6183516216472515,0.15720688810046493,-0.04376831073966796
AdrBalCnt,0.8492289267666638,1.0,0.800689236619808,0.800689236619808,-0.09557289319015683,-0.06964539294689956,0.8153712359339206,0.7823364702639517,0.09722320411505342,0.11688276758318733,0.7267764957632427,0.1681397893917388,0.7037030702207323,0.8164573085701773,-0.7615986581359452,0.870085946869919,,0.8214055152560943,-0.26895010850926643,-0.1885716106701642,-0.8977394569133924,0.5179791966728894,-0.764651367947768,-0.8977394569133924,0.8113538888676484,0.9435293909034272,0.7347741506286002,0.8046617788340525,0.8790758556058716,0.8998332228579691,0.7333765014475222,0.022842312732634,-0.14188977990297194
AssetCompletionTime,0.42254509514479005,0.800689236619808,1.0,1.0,-0.06504533302508744,-0.02550238588196583,0.9004214172585651,0.8247639195240364,-0.11153886404884107,-0.04005204932201527,0.7741358886201765,0.011498171290837916,0.7666288277898078,0.9755115391834983,-0.46726677830172153,0.7242711212001084,,0.8935258856700672,-0.14695397655699388,-0.11489710865939709,-0.2550961603651713,0.6494388809013029,-0.15561664215883572,-0.2550961603651713,0.4909359356918374,0.7564113416705985,0.8982564786317779,0.48604392889602094,0.6806162860887088,0.5994497276487112,0.6058382035185116,0.0010055921858811597,-0.05574739214828619
AssetEODCompletionTime,0.42254509514479005,0.800689236619808,1.0,1.0,-0.06504533302508744,-0.02550238588196583,0.9004214172585651,0.8247639195240364,-0.11153886404884107,-0.04005204932201527,0.7741358886201765,0.011498171290837916,0.7666288277898078,0.9755115391834983,-0.46726677830172153,0.7242711212001084,,0.8935258856700672,-0.14695397655699388,-0.11489710865939709,-0.2550961603651713,0.6494388809013029,-0.15561664215883572,-0.2550961603651713,0.4909359356918374,0.7564113416705985,0.8982564786317779,0.48604392889602094,0.6806162860887088,0.5994497276487112,0.6058382035185116,0.0010055921858811597,-0.05574739214828619
BlkCnt,-0.05786290930936678,-0.09557289319015683,-0.06504533302508744,-0.06504533302508744,1.0,0.20382032531942063,-0.19053687759272675,-0.013353872595603911,0.02344492206669298,0.012575711785646504,-0.1774232119763999,0.0015089886372200412,-0.17481497969772739,-0.05423506566543763,0.4590084583447204,-0.15763832697821362,,-0.19319218783298941,0.095495394492156,0.37393844239617197,-0.12757928620157677,0.1752126822167657,-0.061397829094924576,-0.12757928620157677,0.03083591452422011,-0.08814750803882859,-0.16482972138550694,0.04130585545718623,-0.039999290114371824,-0.05150613311932248,-0.20517776939903196,0.08640800040391612,0.13452455677684805
CapMVRVCur,-0.08388668677698943,-0.06964539294689956,-0.02550238588196583,-0.02550238588196583,0.20382032531942063,1.0,0.01591990298947315,0.4815192385081871,0.06507553412638915,-0.08644991948037507,0.026752449251179544,-0.09085961704760889,0.023723237309323943,-0.01704441477495443,0.18438006282810615,0.008421698032468825,,0.016412564815026492,0.155501615412649,0.6453279543134571,0.44989475191585826,0.4186989638766615,0.38427759167087905,0.44989475191585826,-0.20118435546639882,-0.08572948447044366,0.016565483659827792,-0.19900609317958315,-0.07590334635583577,-0.08972776978542664,0.010552423119847878,0.5484887455729826,0.42753339357264564
CapMrktCurUSD,0.48722452649260467,0.8153712359339206,0.9004214172585651,0.9004214172585651,-0.19053687759272675,0.01591990298947315,1.0,0.9999999992006933,-0.10433160427444081,-0.084375669339938,0.8843145070104115,-0.032576195487286914,0.8688765153661191,0.9370760991034358,-0.5369084628135116,0.8800173082606376,,0.9996983438999736,-0.14833197944135373,-0.10657538936762134,0.455123652681749,0.41509794334967964,0.38716439028547156,0.455123652681749,0.5801653767197189,0.8176649003450676,0.9772994268022348,0.5856166362779464,0.6577912672170313,0.6145236640434013,0.7357990429257691,0.011579803165525237,-0.02543765371548728
CapMrktEstUSD,-0.3103037362042932,0.7823364702639517,0.8247639195240364,0.8247639195240364,-0.013353872595603911,0.4815192385081871,0.9999999992006933,1.0,-0.22347895017536146,-0.03025478584120752,0.8085520812547063,0.004635088512204439,0.7883307865706012,0.8812912426394032,-0.7134061100151883,0.7826338878139094,,0.9996455008083953,0.1828247194608934,0.023181676943173676,0.4551298238230777,0.4150885715911888,0.3871668208885789,0.4551298238230777,0.7794954404368714,0.8166187486753518,0.9750365930321911,0.7722285078748757,0.4195076203085908,0.2774769112408357,0.474178393511373,-0.03636347128690046,0.09736159841563267
FeeTotNtv,0.34305829435361074,0.09722320411505342,-0.11153886404884107,-0.11153886404884107,0.02344492206669298,0.06507553412638915,-0.10433160427444081,-0.22347895017536146,1.0,0.4104563343958091,-0.012659608069639651,0.38859624941016746,-0.030295452501179702,-0.09676283096756398,-0.2156517801913414,0.023352616889535233,,-0.09744910697591,-0.01584268144323826,0.10043086469866164,0.9008261744206146,0.01204284516620365,0.8617443189599843,0.9008261744206146,0.22937146831130734,0.052947022031559474,-0.1360346386941418,0.2250332573118661,0.26402531912722216,0.3061420683622254,0.009537482076476101,0.35367875256510006,0.27133211598516754
FlowInExNtv,0.38001764821435335,0.11688276758318733,-0.04005204932201527,-0.04005204932201527,0.012575711785646504,-0.08644991948037507,-0.084375669339938,-0.03025478584120752,0.4104563343958091,1.0,0.09847165634670287,0.9287836329162373,0.06433669839419139,-0.028449054206784775,-0.3437384138676875,-0.05726515556615103,,-0.08276076685278737,-0.16134889618540388,-0.05169567793991686,0.29419876516719856,0.3954997924193148,0.4039490201790293,0.29419876516719856,0.4342417190083914,0.17489523485101144,-0.07704248862415204,0.42901556540798275,0.3058273537276116,0.3551027736635091,0.04041469162256472,0.23261284272474972,0.3991029357931357
